

DBspace Usage Report: rootdbs             Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 /home/informix/local/local_root                2    50000    26962    23038

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 sysuser:'informix'.sysproccolumns                                20617        8
 sysuser:'informix'.sysexternal                                   20625        8
 sysuser:'informix'.sysextdfiles                                  20633        8
 sysuser:'informix'.sysextcols                                    20641        8
 sysuser:'informix'.systables                                     20649        8
 sysuser:'informix'.sysprocbody                                   20657        8
 sysuser:'informix'.sysprocedures                                 20665        8
 sysuser:'informix'.sysprocbody                                   20673       16
 sysuser:'informix'.sysprocauth                                   20689        8
 sysuser:'informix'.sysprocbody                                   20697        8
 sysuser:'informix'.sysprocedures                                 20705        8
 sysuser:'informix'.sysprocbody                                   20713       24
 sysuser:'informix'.sysproccolumns                                20737        8
 sysuser:'informix'.sysprocedures                                 20745        8
 sysuser:'informix'.sysprocbody                                   20753       32
 sysuser:'informix'.sysprocedures                                 20785        8
 sysuser:'informix'.sysprocbody                                   20793        8
 sysuser:'informix'.sysprocauth                                   20801        8
 sysuser:'informix'.sysprocbody                                   20809        8
 sysuser:'informix'.sysprocedures                                 20817        8
 sysuser:'informix'.sysprocbody                                   20825       16
 sysuser:'informix'.syscasts                                      20841        8
 sysuser:'informix'.sysprocbody                                   20849       16
 sysuser:'informix'.sysprocedures                                 20865        8
 sysuser:'informix'.sysprocbody                                   20873       16
 sysuser:'informix'.sysproccolumns                                20889        8
 sysuser:'informix'.sysprocauth                                   20897        8
 sysuser:'informix'.sysprocbody                                   20905        8
 sysuser:'informix'.sysprocedures                                 20913        8
 sysuser:'informix'.sysprocbody                                   20921       16
 sysuser:'informix'.sysprocplan                                   20937        8
 sysuser:'informix'.sysprocbody                                   20945       16
 sysuser:'informix'.sysprocedures                                 20961        8
 sysuser:'informix'.sysprocbody                                   20969       24
 sysuser:'informix'.sysproccolumns                                20993        8
 sysuser:'informix'.sysprocbody                                   21001       56
 sysuser:'informix'.sysprocplan                                   21057        8
